'id_car_model','id_car_mark','name','name_rus','id_car_type'
'20433','127','Auster',NULL,'1'
'20435','127','Caball',NULL,'1'
'20436','127','Cabstar',NULL,'1'
'20439','127','Dualis+2',NULL,'1'
'20440','127','Frontier',NULL,'1'
'20441','127','Gazelle',NULL,'1'
'20442','127','Hardbody',NULL,'1'
'20444','127','Homy',NULL,'1'
'20447','127','Interstar',NULL,'1'
'20449','127','Kix',NULL,'1'
'20450','127','Kubistar',NULL,'1'
'20451','127','Latio',NULL,'1'
'20452','127','Laurel Spirit',NULL,'1'
'20454','127','Livina',NULL,'1'
'20456','127','NP200',NULL,'1'
'20457','127','NV350',NULL,'1'
'20458','127','NV400',NULL,'1'
'20459','127','Paladin',NULL,'1'
'20460','127','Pick UP',NULL,'1'
'20462','127','Platina',NULL,'1'
'20463','127','S-Cargo',NULL,'1'
'20465','127','Violet',NULL,'1'
'20466','127','Violet Liberta',NULL,'1'
'20467','129','88',NULL,'1'
'20472','130','Arena',NULL,'1'
'20475','130','Cabrio',NULL,'1'
'20477','130','Movano',NULL,'1'
'20478','130','Super 6',NULL,'1'
'20479','134','Nippa',NULL,'1'
'20482','135','Boxer',NULL,'1'
'20512','141','Saloon',NULL,'1'
'20513','143','AM4',NULL,'1'
'20514','143','AMV',NULL,'1'
'20516','147','7',NULL,'1'
'20517','147','Alliance',NULL,'1'
'20518','147','Celtaquatre',NULL,'1'
'20519','147','Colorale',NULL,'1'
'20520','147','Express',NULL,'1'
'20521','147','Juvaquatre',NULL,'1'
'20522','147','Le Car',NULL,'1'
'20523','147','Lutecia',NULL,'1'
'20524','147','Mascott',NULL,'1'
'20525','147','Master',NULL,'1'
'20526','147','Maxity',NULL,'1'
'20527','147','Monaquatre',NULL,'1'
'20528','147','Primaquatre',NULL,'1'
'20529','147','Pulse',NULL,'1'
'20530','147','Scala',NULL,'1'
'20531','147','Thalia',NULL,'1'
'20532','147','Torino',NULL,'1'
'20541','151','Montego',NULL,'1'
'20545','155','L-Series',NULL,'1'
'20546','155','S-Series',NULL,'1'
'20558','157','Inca',NULL,'1'
'20563','159','105/120/130',NULL,'1'
'20571','159','Praktik',NULL,'1'
'20573','165','Istana',NULL,'1'
'20591','167','Cultus',NULL,'1'
'20611','169','Mint',NULL,'1'
'20617','173','Dragon',NULL,'1'
'20618','175','Albea',NULL,'1'
'20619','175','Brava',NULL,'1'
'20620','175','Bravo',NULL,'1'
'20621','175','Doblo',NULL,'1'
'20622','175','Palio',NULL,'1'
'20623','175','Siena',NULL,'1'
'20624','175','Tempra',NULL,'1'
'20625','175','Tipo',NULL,'1'
'20626','175','UNO',NULL,'1'
'20632','176','Avanza',NULL,'1'
'20636','176','Comfort',NULL,'1'
'20638','176','Corolla Axio',NULL,'1'
'20639','176','Corolla Ceres',NULL,'1'
'20650','176','MR-S',NULL,'1'
'20651','176','Prius a',NULL,'1'
'20652','176','Prius Plus',NULL,'1'
'20656','176','Rukus',NULL,'1'
'20672','176','Will VS',NULL,'1'
'20674','176','Zelas',NULL,'1'
'20675','184','Brasilia',NULL,'1'
'20676','184','Citi Golf',NULL,'1'
'20677','184','Clasico',NULL,'1'
'20679','184','Crafter',NULL,'1'
'20681','184','Lavida',NULL,'1'
'20683','184','Magotan',NULL,'1'
'20684','184','New Beetle',NULL,'1'
'20685','184','Parati',NULL,'1'
'20686','184','Quantum',NULL,'1'
'20687','184','Rabbit',NULL,'1'
'20688','184','Sagitar',NULL,'1'
'20689','184','Saveiro',NULL,'1'
'20690','184','SP2',NULL,'1'
'20691','184','Suran',NULL,'1'
'20692','184','Voyage',NULL,'1'
'20701','189','MF30',NULL,'1'
'20702','216','13 Чайка',NULL,'1'
'20703','216','14 Чайка',NULL,'1'
'20705','216','21 Волга',NULL,'1'
